CollateralID,ChargeHolderID,ChargeOrderID,ChargeTypeID,ChargeTypeValue
23491392,3,3,2,19396.86
82081630,2,3,1,2914.16
30424683,9,3,2,3433.71
14261048,3,3,1,5003.72
66065017,6,2,1,11608.23
41502529,3,2,1,7879.43
85737270,6,1,2,1217.13
91594877,4,3,2,19526.51
78548647,9,3,2,1980.04
43631378,10,2,1,9556.3
12157012,3,2,1,9353.51
77067331,10,3,2,10326.3
58667496,3,3,1,12564.61
54886244,5,2,1,4440.84
39390576,9,3,2,7675.76
92531053,1,3,1,19563
35418795,2,2,2,17890.06
23282913,1,1,1,5404.15
65844330,3,2,1,9942.1
42134965,1,3,1,13278.57
44691597,9,1,1,4289.5
13147731,1,3,1,583.93
79497105,4,1,1,4180.27
75911770,10,3,1,4187.55
57748004,4,3,2,3726.57
86121688,6,3,2,17654.68
16268038,3,2,1,10061.53
17237993,10,1,1,8832.36
55341203,3,1,1,5555.21
49165436,10,1,1,12262.5
35107246,6,1,1,16061.25
70007061,1,2,1,5123.16
47322729,2,3,1,12684.13
53693992,7,2,2,19993.77
42125482,1,2,2,4674.63
13692177,6,1,2,16230.88
15466513,5,3,1,19102.04
79819728,10,3,2,4237.97
27994326,6,2,2,7891.96
8174679,9,3,2,2448.88
56457918,8,2,2,13830.08
32891856,4,2,2,1743.17
49297075,8,2,2,1208.9
10196584,3,1,1,8943.98
27802351,1,3,1,1348.46
44539313,7,3,2,13215.73
34456046,4,1,1,17813.93
82993193,9,1,2,1731.04
79157066,8,1,1,6001.05
77816282,1,2,2,10593.23
29827151,3,1,1,11912.73
56420237,7,2,1,6948.24
93033509,9,2,2,2236.46
77822592,10,1,1,6841.87
686641,5,3,1,12847.45
9392109,6,3,2,3748.53
39074021,8,3,2,2852.9
29595112,3,1,1,14778.85
79435013,10,3,1,19242.22
94103895,4,3,2,8326.65
48904418,10,2,1,8589.01
75230815,6,3,1,13155.9
57292557,6,3,2,16064.98
85044582,10,2,1,14255.44
1073642,3,3,2,3794.78
98875221,10,2,1,2228.28
13042466,8,1,1,14343.81
25966198,7,3,1,5754.79
42446605,1,1,1,5618.16
33156029,10,1,1,5952.94
58206618,10,2,1,9273.54
19515626,1,1,1,14599.99
14544711,7,2,2,14222.95
8281586,9,3,2,10822.89
39264053,3,1,2,9586.94
98964276,1,1,2,1272.47
70642325,4,2,2,16206.63
62812914,8,1,2,5928.26
8069501,5,1,2,7598.35
77670360,6,3,1,18087.35
57243221,1,3,1,2439.26
28934796,1,1,2,17257.2
54702192,10,1,1,12616.99
74035964,6,3,1,13880.6
20091488,2,2,2,9238.46
77415255,7,2,2,17002.42
68376998,6,3,2,864.19
14970403,5,1,2,6228.08
99949512,8,1,1,15801.66
76791768,8,3,2,17420.67
23959490,1,1,2,3782.65
94098780,4,3,1,15713.24
39168176,7,1,1,16803.8
35061270,3,1,1,5963.04
66274241,2,3,1,3129.13
33140378,7,2,1,3273.1
65106468,3,3,1,2465.09
49755073,9,1,1,14504.45
19836427,7,2,1,17719.87
87035006,1,3,2,155.17
56260650,4,1,2,1172.01
89281260,1,3,1,16381.65
37650501,2,2,2,17991.79
47455766,5,2,2,10246.48
30469404,8,2,1,5001.88
87443494,8,3,2,16360.97
79907856,6,3,1,2669.56
84451153,5,3,2,1823.53
24046807,5,3,2,8982.77
44769511,5,2,1,10100.12
45875471,1,3,2,698.47
74856528,8,1,2,6911.02
93792190,10,2,1,11295.9
41520632,9,3,1,11369.97
82939330,8,2,2,16663.27
11949582,9,2,2,7537.04
13891454,5,1,2,19186.67
83150414,5,2,2,16956.88
3576822,5,2,1,19410.06
59071845,4,3,2,11097.16
1210772,2,3,2,7204.62
9349820,1,1,2,7002.22
26318634,5,3,1,4066.71
42820556,9,3,1,19040.37
16970126,6,3,1,585.98
5784672,10,3,1,2266.77
8144993,1,2,1,3399.02
48181578,2,1,2,4108.78
85460937,1,1,2,7373.48
92145723,2,3,1,5510.46
21953080,10,1,2,205.72
8243793,3,2,2,14602.86
13628998,6,1,2,2581.69
47184808,4,1,1,3657.65
73588073,9,2,1,3136.37
18898707,9,3,1,6529.26
60999407,1,1,2,9902.02
12597264,7,3,1,16363.33
46686653,1,2,1,18404.53
25529844,8,1,2,7607.49
35894875,1,1,2,15072.85
10240114,3,2,1,9691.72
84763121,1,2,1,13235.24
6433105,4,3,2,2737.6
37225579,3,2,2,9070.68
90908468,4,2,1,8270.72
23658937,8,3,1,13586.79
75652815,3,2,1,3392.12
62074756,8,2,1,10702.74
9423423,9,2,1,3136.77
52888594,8,1,1,1335.65
27275890,8,2,2,9135.98
88121677,1,2,2,4199.58
8429956,10,3,2,16784.04
36633477,7,1,2,19809.82
67779459,7,1,2,10737.62
23990028,10,3,2,19893.97
1297693,8,1,1,15159.23
37592848,7,3,2,224.18
55501333,8,2,1,10527.35
49597978,1,3,1,6445.92
30585413,2,3,2,16816.27
86714466,1,2,1,19888.8
46770937,1,1,2,5691.52
6637320,9,3,1,1.91
29957095,5,3,1,17556.34
62143743,1,1,2,13460.09
23494799,1,3,1,14553.68
27664118,3,3,1,10302.82
29135936,10,1,2,14260.94
48854293,4,2,2,13708.48
1358894,3,1,1,6983.23
64075505,3,1,1,8839.88
16293079,7,1,1,9970.08
70389278,10,2,2,11805.89
91513221,10,3,2,1404.94
99373484,1,1,1,12583.3
45772914,10,1,1,16475.43
59932356,10,2,1,16561.43
93828500,10,3,1,5140.75
17824124,6,2,2,3346.93
20902026,10,2,1,6215.23
78053641,5,2,2,4010.56
16810650,10,3,2,2069.12
66807644,5,3,1,5481.01
34223280,4,2,2,4546.59
280694,6,2,2,1175.97
5645761,8,1,1,187.47
36571256,2,2,2,1816.2
61154766,10,1,2,15176.96
30448592,3,3,1,13677.57
89060687,1,1,2,6889.27
15046845,1,3,2,2327.43
81517919,6,2,1,1781.69
10445081,2,3,2,15102.75
9862248,3,3,2,19818.16
55097008,5,2,1,19787.74
52288512,8,1,2,2205.98
48955416,1,3,2,12391.87
59113414,9,1,2,3029.53
21237712,9,3,1,9550.57
86145432,3,1,2,16785.24
18573232,7,2,1,8037.46
1602577,7,3,1,10883.28
51695761,10,3,1,9889.58
94194244,9,2,2,6766.65
15496546,1,3,2,14131.9
8350611,10,1,1,14156.69
85716222,9,2,2,7777.24
22512260,6,3,2,9360.59
33305554,4,3,2,17454.63
74375464,6,2,1,8567.45
66224812,4,2,1,19819.2
54099941,6,2,2,5100.06
57779139,6,3,2,9466.27
81950517,3,1,2,5239.74
24796829,10,1,1,13787.5
87459632,9,1,1,3188.13
89124030,2,3,1,4397.99
48456932,6,2,1,2739.82
45531138,6,2,1,9993.63
13421727,7,1,2,17607.95
94421882,3,2,1,10484.8
98808248,8,1,1,2775.91
94935046,7,2,1,7932.33
46915109,3,1,2,323.74
29205084,8,2,2,17464.76
3657190,2,1,1,14877.53
86039814,1,1,1,4424.9
36563311,8,2,1,8248.74
19843140,6,3,2,10093.74
32930034,6,3,2,14091.48
81588401,3,2,1,9806.6
37507146,6,3,1,9369.72
41396473,7,2,1,1153.44
88515685,2,1,2,3367.14
6673274,5,1,2,8882.93
41667003,1,2,2,15450.01
2844636,2,1,2,496.9
34352038,5,2,2,4190.75
62485743,10,3,2,6519.28
57314990,6,1,1,16730.39
88088133,10,1,1,10945.28
16829659,4,1,2,8931.79
42004252,8,1,1,11552.47
10372908,8,1,1,1725.06
65963327,8,1,2,18736.39
91311519,1,2,1,13984.26
62649352,9,3,1,19472.21
80215742,8,3,2,8621.52
93023079,8,1,1,544.2
4964077,4,2,2,18206.61
77777143,10,3,2,10218.84
54084704,6,1,2,4154.22
65475199,3,1,2,9711.04
57201860,2,2,2,9844.6
74833153,9,1,1,2804.26
13163859,6,3,1,11187.73
45540260,8,3,1,14187.13
63507639,2,1,2,10683.43
55416392,6,3,2,18884.41
52452778,9,2,1,5593.07
32449834,3,2,1,1067.82
27516446,8,2,1,3671.14
21408820,2,1,1,17817.24
81137616,8,2,2,8149.96
7257477,5,2,1,6418.53
82967190,6,2,1,5474.11
9067952,5,3,1,10718
7154866,2,3,1,1346.32
4300425,8,3,1,7814.46
5799656,5,2,1,2836.87
8972196,2,2,1,678.3
59286074,3,1,2,4754.46
36461712,8,2,2,2165.6
26018365,8,3,2,15736.77
39481521,10,3,1,14047.44
40383967,5,2,2,3907.7
86339858,1,1,1,6908.34
4991504,8,1,2,18093.01
20330733,9,2,2,14065.75
37241800,2,1,2,13695.48
81258250,3,2,1,8882.06
64896103,7,2,2,19664.08
68401255,10,1,1,16879.29
94193301,9,2,2,2677.15
25349289,7,3,2,968.32
83343594,5,1,2,8972.17
56308395,5,3,2,10717.4
62865707,7,1,2,10198.35
93463069,3,2,1,1313.2
58832044,4,2,1,12390.88
68270381,8,2,1,15590.88
4171517,7,3,2,17167.8
38114549,9,2,1,5394.75
99977821,1,2,1,13679.13
83395147,9,3,2,11398.88
6913028,2,1,2,14565.24
12807498,1,1,2,12944.98
28058188,10,1,2,14916.25
90700380,1,2,2,15854.73
17455587,6,3,2,2454.99
61992717,7,3,2,4922.43
78695565,2,3,2,6591.46
26000075,4,2,1,13507.8
40240860,10,1,1,1485.79
35559370,9,3,2,13641.41
87100286,2,1,2,2330.33
66211925,5,3,2,5311.46
48444756,6,1,2,4779.29
35290908,3,1,2,3060.81
74434144,4,2,1,18305.55
6844225,10,1,2,4652.14
38541312,2,1,1,14172.15
44757092,8,1,1,17864.73
65239254,2,2,1,11876.45
93444473,10,3,1,3226.31
22872480,8,2,2,15597.3
8743937,5,1,1,12897.5
34106573,10,2,1,9753.72
92495206,5,1,1,5542.19
7899277,4,3,2,3490.02
24832806,7,1,2,1739.08
16692176,4,3,2,19576.52
55802267,8,1,1,9475.99
88844926,8,2,1,11547.46
69904217,9,3,2,9195.78
48015741,4,1,1,5391.18
5284978,5,3,1,4116.3
79697992,3,3,1,14080.41
90182019,1,1,1,11828
95766043,2,2,2,19369.64
21748860,7,2,1,12835.25
97324721,5,1,2,11658.98
55183229,1,2,1,7244.15
4496583,3,2,1,13550.02
60541620,5,3,1,9966.35
13858914,6,3,2,16663.74
3376717,1,2,2,11965.35
67437212,7,1,1,7984.07
75631055,6,1,1,4741.22
4339034,4,1,1,11713.81
37620014,3,3,1,19950.74
9498686,3,1,2,2434.77
68501228,5,2,1,10880.97
69751363,5,1,1,8500.56
36112497,2,3,2,11000.41
15141242,6,1,1,3932.66
64066741,9,3,2,12806.54
66145211,10,3,2,13055.41
73618208,10,1,2,7990.64
49928355,2,1,2,1434.24
72922449,1,3,1,12094.52
16613079,4,3,1,7893.19
68372428,9,3,1,6617.26
16323285,4,2,1,10162.61
22884497,1,2,2,17757.63
48461285,5,1,2,14253.78
2498141,6,3,2,18772.31
30898102,4,1,1,2551.28
89976233,10,1,1,6.74
38486295,9,2,2,7910.42
84869037,8,1,1,1826.89
39993376,5,3,1,5971.79
92366054,3,3,1,5953.59
11965134,8,3,1,9558.38
30223712,5,2,1,14195.82
85058525,9,2,1,17256.68
62432725,8,3,2,1376.44
92876844,1,2,2,18011.41
49471772,3,2,1,12494.78
6885125,10,2,1,7371.92
66617037,3,1,1,8318.05
72480019,2,3,1,274.83
70370147,9,2,2,9311.91
80015297,2,2,2,16885.76
22470793,6,3,2,11573.15
35170013,9,3,2,15554.74
17670052,7,1,2,6649.33
59052727,5,2,2,1219.68
79006385,4,1,2,691.89
62422898,1,2,1,19087.4
55808500,9,3,2,8628.87
97029178,4,1,2,5822.37
96412968,7,2,1,611.02
62049349,6,1,2,16528.32
99135861,3,2,1,2273.75
19475361,5,2,1,12452.75
86301505,8,3,2,12584.61
95712060,7,1,2,4970.61
34876606,8,1,2,13256.34
83212956,3,1,2,7506.73
49263001,10,3,1,411.62
27082101,1,2,2,7469.7
13232850,4,3,1,5396.65
18283182,6,2,2,13782.06
24580978,4,3,2,6617.48
85416173,8,3,2,8631.13
17831806,1,1,2,17135.22
57193550,2,1,1,15442.35
24129759,6,3,2,18627.32
41862538,4,2,2,10941.67
74996714,6,1,1,18794.92
80350016,9,3,1,1644.36
35152343,5,3,2,1711.11
97507078,1,1,1,724.6
80304495,7,1,2,13638.08
12791419,7,1,2,4866.37
90329752,5,3,1,15028.81
98524583,9,1,2,5949.72
49845448,10,3,1,9648.41
56048298,3,2,1,16408.16
32443271,4,2,2,3450.17
16953811,7,3,2,16241.12
66594454,8,1,2,9172.14
28443666,5,3,2,14714.68
50839571,3,1,2,6019.34
69845217,9,2,1,1518.74
99880024,4,1,2,809.69
93844158,1,1,2,18530.68
91709101,5,1,1,1899.19
71233807,6,3,1,10270.93
11668318,10,1,1,1871.8
98977332,7,1,2,6112.36
75960166,4,2,1,6791.37
54610591,2,3,1,5205.37
33552485,10,3,1,12290.36
36374483,5,3,1,7685.36
53377981,2,2,2,17473.66
87359718,5,2,2,16556.07
63765198,3,1,1,12769.26
60335256,10,2,2,8733.21
66837398,6,1,2,7556.43
54880516,2,1,2,14515.49
6528179,2,3,2,4766.05
26864776,9,3,1,10861.01
40530227,1,3,1,9326.58
71130811,2,3,2,18780.99
61207983,4,2,1,7070.9
25398754,6,2,2,10337.07
50971855,8,3,2,9377.33
7962421,5,3,2,10296.09
77948841,10,2,2,5631.01
52337386,1,1,2,15040.22
69675634,9,2,1,11333.58
31382938,10,1,1,17792.49
4112187,10,2,1,14656.82
50620425,1,2,2,11169.79
14162296,9,3,1,14867.4
58745906,5,1,1,12180.12
49447868,8,1,1,16131.18
79398420,7,2,2,13884.05
4961039,5,2,2,2013.85
65908006,3,2,2,8614.93
71377444,9,2,2,9514.09
62517277,10,3,1,13655.64
72897539,5,1,2,14134.06
35070489,9,2,2,3071.38
80359685,7,1,1,6970.83
10342171,8,3,1,97.15
42797011,4,3,1,2470.51
4846271,10,1,1,17666.33
20158609,3,1,1,13447.75
91302055,8,2,2,12225.22
8166401,2,2,1,1247.49
97150665,8,2,1,1304.11
4201558,8,1,1,3599.75
67897903,7,2,2,7651.11
37766232,9,1,2,5029.61
7631424,2,2,1,14142.4
78211212,10,1,1,12625.83
10932326,10,2,1,1892.16
51206406,6,1,1,10803.66
74354957,7,3,2,8853.07
92423082,1,1,1,1652.6
16461763,1,2,2,3136.15
18699720,2,1,2,5558.43
1625353,5,3,1,6920.87
7721435,8,1,1,7728.01
57552641,10,2,2,6856.58
84090800,3,1,2,15481.51
21199658,2,1,2,4460.85
16724201,6,3,1,9508.22
58241589,1,2,1,8153.91
53997432,2,2,1,1308.05
47807191,8,2,2,7685.11
335597,8,2,1,12544.21
45338009,7,2,1,18768.37
34983818,8,3,2,12563.53
61348311,5,2,1,173.26
70876080,2,3,1,13504.06
99695060,2,1,1,4654.72
93937817,9,1,1,6600.46
78541074,6,2,1,16767.52
72892995,10,2,2,10389.62
67040407,8,3,2,9353.58
36085668,7,3,2,4738.55
83992991,4,1,2,19441.29
91086976,5,3,2,3455.33
61729899,8,3,1,3725.27
80987912,7,1,2,18047.76
43986527,9,1,1,3656.22
34001308,2,1,1,3269.37
26031501,9,1,2,19201.2
55169582,4,3,1,6428.28
57898961,3,2,2,434.82
20835408,1,2,2,11206.89
17490213,10,2,1,5521.35
87413144,4,3,1,18312.15
27390944,8,2,2,11101.98
98679109,5,1,1,16725.04
28597433,8,1,2,14307.05
26367789,5,3,2,3898.73
48395664,10,1,2,8730.79
14822628,7,2,2,16621.7
84691738,7,3,1,12761.41
28196946,3,1,1,9604.52
67334119,1,2,1,10668.42
81827421,4,1,1,14516.91
92818408,4,2,2,2031.26
36892847,3,2,1,10851.4
36568875,5,2,2,3968.04
52809665,7,1,1,18854.81
57183263,6,1,2,19399.17
24179963,2,1,1,10984.38
96936827,9,3,2,10185.83
95486029,4,2,2,5848.21
92061708,10,3,2,11336.29
39370349,1,1,2,1117.91
30504223,5,2,1,6680.91
27515535,8,2,2,2505.79
19074356,2,3,2,15202.09
45121566,9,1,1,8402.64
45643104,6,1,2,16444.88
17927694,1,1,2,9328.43
33699363,10,1,2,12340.33
37430119,1,1,2,16674.24
46058057,2,2,2,15861.09
9310007,4,3,1,5469.45
77766302,7,1,2,17343.1
53298010,10,3,1,17139.82
63876522,2,1,1,11914.66
36011472,8,2,2,7937.14
14171398,5,1,1,9820.82
9278590,1,3,1,14561.6
39743584,5,3,2,7038.86
68631086,5,1,2,15225.87
64186408,5,2,1,15699.46
19372742,3,3,2,13671.76
17302516,6,3,1,5651.3
91455593,10,3,1,9569.11
26897340,7,2,2,6629.25
58709724,4,1,1,19658.96
33530609,6,1,2,16860.47
7321623,7,3,2,14095.94
75936977,8,2,2,8752.14
5156147,10,1,2,10507.11
90851428,10,3,2,3255.05
38430172,3,1,1,19641.21
45201102,4,1,2,19655.41
33046338,7,3,2,4898.51
15146259,8,2,2,36.57
66373370,7,1,2,10756.79
30626661,3,2,1,10727.7
11529010,1,3,1,19664.84
19334363,8,1,2,7633.97
43318705,8,2,2,9128.87
48816681,10,2,1,16982.72
11920238,10,3,2,10553.17
57648909,5,2,2,14373.22
19799248,7,2,1,7065.04
3675988,9,1,2,1083.84
84012450,10,1,1,7667.18
75585165,3,3,2,4838.93
81783346,7,1,1,18458.84
29074118,10,1,2,9159.43
41179899,9,1,2,140.72
58185252,10,3,2,11366.08
83970415,7,1,1,4347.77
7230745,9,1,2,14806.79
66790854,3,1,2,15426.02
99889159,9,3,1,17942.07
56748444,4,3,1,19184.34
15671755,5,3,2,5999.33
74264196,2,2,1,2701.28
80594913,10,2,2,15976.41
29220608,8,1,1,7526.59
2224840,4,3,1,5846.64
52766877,9,2,1,956.15
62328723,9,3,2,5064.99
26532848,7,3,2,17374.42
87366926,3,2,1,12974.53
33935830,9,1,1,7709.26
4156563,4,3,1,10543.2
18678366,5,2,1,7054.75
98714833,7,2,1,4707.24
84367036,3,2,1,18675.6
51833322,1,1,1,10644.97
84046031,8,3,1,15614.81
44190434,9,2,2,895.96
39877685,4,3,1,15247.81
75066201,1,2,2,14337.82
29058226,7,3,1,5179.95
8609057,5,2,1,16536.22
31224580,6,2,1,3563.46
33846268,2,3,2,19383.27
1932676,1,2,2,13497.53
78230363,3,2,1,440.49
63421622,6,1,1,2323.49
88539920,8,2,1,9158.89
95159474,8,1,1,17306.32
25247053,4,1,2,16184.61
37750654,6,1,2,10772.6
54574032,4,1,1,4240.04
76942390,10,3,2,6647.96
42914919,5,2,1,12121.03
12598219,5,2,1,14545.22
95504247,1,3,1,18205
72693061,4,1,2,11217.72
6531338,3,3,2,14790.79
27386258,5,1,1,3995.78
24435388,6,2,1,16519.61
85543172,9,1,2,8936.3
58363915,2,3,2,5968.56
71046001,8,1,1,5436.17
27798625,1,2,1,9376.75
38179383,3,3,1,9746.61
32081156,3,3,2,13306.26
51756982,9,1,1,8532.17
22624453,3,3,2,6015.49
5076729,10,2,1,9398.99
91375254,8,2,1,12749.72
75746342,9,2,2,3470.47
24094073,2,1,2,18253.2
66260689,9,1,2,3251.45
64770560,5,3,1,13983.63
4800677,8,3,2,7092.95
37613881,5,1,1,4382.83
60194167,5,3,2,15142.6
8877469,10,3,1,15096.33
45758383,5,2,2,5204.07
71659592,9,1,2,19346.74
62689274,4,3,2,12344.3
88573482,6,3,1,16492.88
80389526,9,3,1,9129.26
46251601,6,3,2,7243.39
43710644,3,2,1,18160.14
36948199,4,1,1,9383.93
72383298,8,3,2,14250.87
94528395,10,1,2,14680.27
24316049,8,2,1,14176.46
8529795,5,1,1,5481
92748786,2,1,2,4264.56
12754783,1,3,2,15593.65
57877863,3,3,1,1718.92
85909271,9,2,2,14298.2
11065126,8,1,2,4155.21
90654995,3,3,1,4827.14
21328988,5,2,1,16576.01
79497660,6,3,1,5152.9
26930141,2,2,1,7565.83
82587098,5,3,2,19123.33
51390076,10,1,1,6552.4
20147839,2,1,1,19462.79
97840313,2,3,2,16934.76
1832741,8,1,1,13806.44
16585268,9,2,1,17608.34
69480074,9,1,1,11128.49
81207897,2,1,1,6779.85
62536870,5,1,2,16191.13
59284495,10,1,2,16843.46
11999881,9,2,1,13887.47
45209959,4,2,1,5564.47
10265044,9,1,1,8994.38
80042293,1,3,1,5273.36
86880949,4,2,1,13504.49
43707977,10,1,1,6045.54
8166482,2,2,2,14773.57
22628319,9,1,2,17426.34
41981850,3,3,1,6946.93
94690281,9,3,1,11271.05
85816891,10,3,1,8269.83
86771622,9,3,1,18742.04
87012229,4,1,1,15894.28
85927368,2,1,1,12039.08
19689598,4,3,2,8074.34
54225303,3,2,1,5029.8
53844474,10,2,2,2944.01
95359397,2,1,1,7367.18
3666849,8,3,2,18675.07
37446742,7,2,1,18800.92
39394433,9,3,2,12714.65
71152059,1,2,1,14632.96
20296639,2,3,2,9354.95
56904170,3,3,1,10552.23
52602767,10,3,1,10328.42
41977871,1,1,2,12093.22
54368055,9,2,1,4890.99
7684284,10,3,1,364.34
1693437,7,3,2,17317.93
36489521,7,3,1,11287.02
62681093,6,3,2,15685.23
97278361,4,1,2,10327.4
96190602,2,1,1,17862.58
25738494,6,3,2,17329.86
1221766,2,3,1,9560.18
98907852,8,3,2,10676.27
22290073,9,2,1,15881.76
57347079,2,1,1,309.83
2943069,2,3,2,8743.34
88025469,4,1,1,7500
26661424,5,3,2,12819.31
22703960,2,3,1,12088.56
89418029,10,1,1,4708.94
73469821,7,1,1,19040.78
27794776,4,3,1,14231.94
13081818,8,1,1,5021.78
39882898,8,2,2,18524.01
57729255,9,3,1,17874.71
2222266,4,3,1,14012.61
71448210,5,1,2,14661.89
27480235,2,1,2,19815.95
96485349,6,3,1,19318.1
57286787,8,2,2,1358.75
48392439,6,1,1,16148.69
18521693,1,2,2,1891.8
88719882,5,1,2,16199.8
43022301,5,1,1,19269.9
49048660,9,3,1,5097.67
87960147,3,1,1,3946.98
49031627,4,2,2,12085.23
9127947,7,1,1,5354.08
7795749,10,2,2,14044.13
24124356,4,2,1,12608.33
50181854,6,2,2,2121.47
60534094,9,1,1,19.09
89276695,7,1,1,4372.18
76639836,5,1,1,2084.65
25402634,3,3,2,11192.59
39721980,2,3,2,486.28
42167643,1,1,1,10136.75
16216886,2,2,1,7165.5
97555935,8,3,2,14383.55
98620869,2,2,1,5909.3
43227393,9,3,1,11485.5
72478338,9,1,2,14914.69
33704661,10,3,2,13752.82
87165439,3,1,1,8419.63
28279814,6,2,2,10996.61
41797851,1,3,2,16573.14
21516900,5,3,1,8903.93
15885428,2,1,2,16068.58
93795829,10,3,1,5002.66
72272509,7,2,2,6869.15
88358928,4,3,1,19424.71
6457802,6,1,2,17765.48
79957709,8,3,1,7055.1
56062394,6,1,1,15650.04
69051171,4,3,2,5546.21
92649724,2,2,2,17520.78
4117369,6,1,2,17656.06
60538188,8,1,1,12736.32
79153242,6,2,1,7728.24
6452296,8,3,2,13870.52
18317851,7,3,2,2834.31
98875537,7,2,2,9794.22
80905784,7,3,2,16570.97
11837191,3,3,1,10537.36
17701544,4,1,1,10835.86
75297204,10,3,1,3647.27
27054831,7,3,2,16991.47
39477958,8,3,1,1771.78
55550347,4,3,1,19888.84
92779381,9,3,1,4319.65
99705620,2,3,2,16988.38
5624241,1,3,2,15695.99
45158293,10,1,1,2729.54
85886424,6,1,2,11673.13
8545646,1,2,1,19115.94
82499043,3,1,2,13669.5
35034528,1,2,1,12098.69
47652836,3,2,1,11069.27
344470,9,2,1,17834.74
3323547,1,3,2,6072.45
5043585,2,1,2,11948.62
85614669,3,1,2,17824.66
42519928,5,2,2,10352.76
44729937,1,3,2,9168.87
44321765,1,1,2,1025.49
30799109,10,1,2,6164.86
82807649,2,2,2,9892.38
88981630,3,1,1,2337.08
80289984,4,1,1,17524.05
13536854,6,2,1,1989.74
56556644,2,3,2,1116.07
