Id,CollateralID,Indexation,Valuation_Currency,Valuation_Date,gross_value,DiscountedValue,is_primary,ChangeType,CreatedDate,LastModifiedDate
facms65847,jgg21633373,True,USD,2012-09-21,8696300.00,8037583.00,False,CREATE,2013-08-24 03:32:21,2017-04-09 11:18:32
gyhep55117,vbt86482977,False,GBP,2014-08-07,46457255.13,930139.00,True,UPDATE,2015-02-08 12:31:59,2014-06-08 02:39:27
cqlms45556,rwa59876868,True,GBP,2012-06-19,406852.00,661725.00,True,CREATE,2011-11-23 09:49:59,2017-04-26 08:38:51
ygyaf72996,mqn33062244,True,GBP,2013-09-08,314064.00,70056827.00,True,UPDATE,2013-10-23 10:04:28,2014-08-11 09:33:25
pzowa01422,foj42617544,True,GBP,2010-04-05,444543.00,127551.00,True,UPDATE,2011-10-28 04:53:15,2013-06-29 02:20:56
ssyzb55805,vne09447779,True,GBP,2012-09-17,372378.00,3499117.00,False,CREATE,2011-10-02 02:54:41,2014-01-11 10:13:08
uoblh89141,sdn54950955,False,GBP,2012-07-05,132323.00,9385752.00,False,CREATE,2011-06-29 09:51:37,2015-03-15 08:20:18
zdvvy89102,ekg91044811,True,USD,2011-04-10,17676843.00,942934.00,True,CREATE,2014-01-15 12:34:01,2016-02-25 11:00:22
uznho48130,lsq94678232,False,USD,2011-09-02,70022836.00,9186012.00,True,UPDATE,2014-03-23 09:26:25,2012-11-07 08:45:04
vlnnc55892,rmv70241818,False,USD,2010-10-29,881631.00,1398684.00,True,CREATE,2010-08-30 07:56:45,2015-01-09 07:50:28
qcljj62167,upl28910842,True,USD,2013-03-31,366138.00,7050334.00,True,CREATE,2011-08-12 11:07:59,2012-05-12 02:31:43
kowry57503,vlc43291072,False,USD,2014-06-01,180684.00,1659579.00,True,UPDATE,2010-11-06 12:14:48,2012-02-03 06:02:31
gicrx27924,xfh69125566,False,USD,2014-01-24,961398.00,213670.00,False,CREATE,2015-01-16 04:20:53,2014-12-28 08:51:00
lrwml25470,cfa94514445,False,USD,2010-10-12,583199.00,378950.00,True,UPDATE,2011-03-16 12:38:18,2014-08-30 04:52:51
qexik05368,swm37113317,False,USD,2013-04-25,855144.00,7827401.00,True,UPDATE,2014-06-09 03:22:14,2013-07-17 01:19:23
hoxoq95931,hvz31055406,False,GBP,2013-06-22,174605.00,1551102.00,True,CREATE,2013-07-30 08:58:00,2015-04-11 10:42:40
rfmdt63474,zrs24073991,True,USD,2012-08-13,333120.00,853675.00,False,CREATE,2010-05-08 12:29:20,2014-03-27 02:30:27
bwvkl22588,voe22015396,True,GBP,2010-05-22,969034.00,45719160.00,True,CREATE,2013-11-25 09:37:29,2013-03-22 02:44:48
hikmy31970,bcj20087076,True,GBP,2014-05-02,3097612.00,776910.00,True,UPDATE,2012-09-25 12:34:43,2016-06-16 10:39:51
ccpmi42766,ftn10584853,False,USD,2013-03-31,85661932.00,418288.00,False,UPDATE,2014-09-26 04:54:17,2015-01-17 03:54:22
wffkj89891,cfn06101222,True,USD,2013-02-09,3607008.00,138268.00,False,CREATE,2013-01-13 07:17:56,2016-04-09 01:52:32
ktkrw39852,ibs93492505,False,USD,2011-03-31,9300659.00,32326.00,False,UPDATE,2012-09-23 05:05:35,2014-03-03 09:09:17
ylswp71847,wrx31023566,False,GBP,2012-08-10,58008.00,39179831.00,True,UPDATE,2014-05-16 10:02:27,2012-07-18 11:55:27
hqerc41709,dcj37147511,True,GBP,2012-03-31,58594.00,210039.00,False,CREATE,2011-09-13 12:02:57,2016-03-28 04:52:10
kvujk10148,mtr69215642,True,GBP,2011-12-19,63248.00,2058987.00,True,UPDATE,2011-05-25 01:52:50,2014-07-18 07:40:16
xnmyb09640,bdu93660675,False,GBP,2013-02-01,99402974.00,630997.00,False,CREATE,2013-08-10 11:46:40,2014-01-03 09:34:56
elgtf02979,egr24061580,False,GBP,2013-04-07,50372081.00,945408.00,False,CREATE,2013-04-16 02:41:19,2012-10-26 11:33:03
masfl84375,mfz10828416,False,USD,2013-12-23,7443977.00,8452859.00,False,CREATE,2012-06-02 10:01:53,2017-01-04 12:12:18
mgovq53476,tus32721602,True,GBP,2012-09-25,94049359.00,24109640.00,False,CREATE,2013-04-19 02:14:16,2016-09-19 02:58:00
ibeiv35290,srj20722181,True,GBP,2010-02-05,7455077.00,2748471.00,True,UPDATE,2010-05-09 08:54:04,2016-12-03 07:33:28
ioqqp61568,iyt30844111,True,GBP,2015-03-04,6178308.00,383476.00,True,CREATE,2011-09-11 04:30:24,2012-10-10 10:04:25
yvqdc83961,egn49670684,False,USD,2010-11-29,225587.00,212594.00,False,CREATE,2011-06-04 06:46:31,2016-10-14 01:54:00
yzqou30112,ekk74351630,True,USD,2013-07-03,843455.00,800763.00,True,UPDATE,2011-01-22 02:20:44,2017-04-20 06:38:46
negxa63202,bbv84492930,False,USD,2011-08-06,9055089.00,47761.00,True,CREATE,2014-04-11 04:54:27,2014-12-03 02:22:38
wgfwr12898,lsk74883499,False,USD,2013-10-25,6618272.00,601777.00,True,UPDATE,2014-11-14 10:23:31,2012-02-18 06:23:42
xitda59574,atc02850970,False,GBP,2015-05-04,800438.00,18202284.00,False,CREATE,2014-10-26 07:42:38,2014-01-06 02:33:24
wbfsg68152,aae50664553,False,GBP,2010-10-05,52389901.00,409644.00,True,CREATE,2014-03-31 07:26:45,2016-06-16 02:15:27
qcydf76450,dsf10635854,False,GBP,2013-01-31,588531.00,27648558.00,False,UPDATE,2015-04-30 02:57:52,2012-01-19 12:32:01
atyrq83428,gag35017534,False,GBP,2012-02-03,927503.00,19383695.00,True,UPDATE,2010-10-23 05:46:38,2013-07-08 03:32:42
nadle83718,xhj92382186,True,USD,2015-01-27,4447420.00,44949710.00,True,UPDATE,2012-06-28 02:35:39,2013-03-09 03:58:15
aqwtx59340,vaz37606272,False,GBP,2013-02-24,28620412.00,658409.00,True,UPDATE,2013-02-28 09:19:11,2015-12-26 07:00:50
jbmyz19591,pdo35012986,True,GBP,2013-04-02,305106.32,3312890.00,False,UPDATE,2010-07-27 04:00:11,2014-11-03 07:05:56
vpdjd86555,wux42997454,True,USD,2012-12-22,2218855.00,438770.00,True,UPDATE,2014-05-20 06:16:09,2014-06-25 11:05:59
seziw11432,jik04849393,True,GBP,2013-05-28,869433.00,392595.00,False,UPDATE,2013-09-17 09:11:49,2012-12-31 10:10:09
tcpun16787,xhj44694016,True,USD,2015-04-01,6545162.00,58927438.00,True,UPDATE,2014-06-24 06:27:00,2015-06-20 02:35:24
smiqz61250,dkb38306807,False,USD,2014-12-14,1604639.00,59601528.00,False,CREATE,2012-06-06 12:19:55,2014-08-02 05:57:13
xqmpk86135,prj07430669,False,USD,2013-12-30,698162.00,330892.00,False,CREATE,2013-04-29 07:03:49,2015-09-06 03:40:40
lhrdh34514,ywc24086455,True,USD,2011-07-12,48919078.23,4924125.00,False,UPDATE,2014-10-25 11:32:23,2012-10-16 01:49:00
vcvyg42230,zob94186747,True,USD,2014-11-12,558640.00,1107131.00,False,CREATE,2014-02-08 09:40:46,2014-08-31 04:25:25
mksvc59262,ppx92111236,True,USD,2014-12-18,281456.00,545683.00,False,UPDATE,2010-12-25 02:49:17,2014-11-08 12:40:52
mlogx38833,hlp37500314,True,USD,2013-06-02,1274731.00,4143559.00,True,CREATE,2014-04-03 04:05:09,2017-01-30 10:38:47
gqtoe01720,ovw26016567,False,USD,2014-06-30,881323.00,919623.00,False,UPDATE,2011-02-26 02:19:47,2014-11-02 11:19:54
tfdre81912,rpb49019021,True,USD,2013-01-05,489849.00,18240.00,False,UPDATE,2010-07-10 09:37:08,2014-04-18 02:41:24
mbigz58697,vds67989279,True,USD,2014-04-24,321120.00,60512853.00,False,UPDATE,2010-05-30 08:19:42,2015-06-01 11:56:35
cehia27217,ggm17896641,True,USD,2010-07-08,455362.00,8518154.00,True,CREATE,2014-07-26 04:54:41,2013-11-16 09:39:38
rdhlv53448,fqo28545952,False,USD,2012-09-12,771777.00,728242.00,True,UPDATE,2010-08-31 08:54:42,2015-06-29 07:34:01
yjcmt20152,afx05571844,True,GBP,2010-01-28,62905059.00,660421.00,False,CREATE,2011-12-15 01:35:24,2015-03-26 06:59:02
vxvcn32188,tay60094013,True,USD,2011-04-18,78063268.00,687871.00,True,UPDATE,2011-03-22 01:59:18,2016-11-15 10:44:37
pfnpb14654,wtj60256681,True,GBP,2014-02-05,65298032.00,5505131.00,True,UPDATE,2012-05-15 07:33:28,2015-07-24 01:47:31
ydxlt94064,ohx98570057,False,GBP,2012-11-14,54245547.00,169478.00,True,CREATE,2011-06-15 09:10:57,2017-02-24 11:18:11
glgjt68716,gjl87810906,True,GBP,2012-02-14,772854.00,99990260.00,True,UPDATE,2014-10-22 11:40:10,2015-11-08 10:46:47
ezthz93232,kaf88649438,False,USD,2012-01-05,52584045.00,306464.00,True,UPDATE,2013-02-13 04:12:28,2013-12-17 01:15:32
vdyij99209,rnn83800193,True,USD,2014-02-15,6129226.00,5834432.00,False,UPDATE,2011-06-03 01:21:48,2013-09-10 08:37:26
nbhya93286,wge99599965,False,USD,2014-10-07,741887.00,9232331.00,True,UPDATE,2010-04-09 01:06:20,2014-05-05 12:30:12
beavi34720,nbe93767617,True,GBP,2013-09-19,604278.00,3440581.00,True,UPDATE,2011-03-26 09:28:28,2016-07-31 02:26:50
pjhns08258,rrp66225981,True,GBP,2014-12-23,319864.00,3267871.00,False,UPDATE,2013-05-21 01:04:24,2013-07-23 09:04:40
gdzuj99641,sgt27434545,False,GBP,2014-05-07,254648.00,3689377.00,False,CREATE,2012-06-15 10:16:24,2016-12-16 08:23:19
tclca83829,gou07904524,False,GBP,2014-07-27,98836547.00,59622.00,False,CREATE,2010-02-10 05:44:51,2012-08-09 06:06:18
wtfoi88786,cwe12113620,True,USD,2012-03-18,45611824.00,8064043.00,True,CREATE,2011-11-14 03:18:49,2013-08-24 11:47:18
hhlir72162,ums34938555,True,USD,2010-09-05,996293.00,5185659.00,False,CREATE,2013-12-05 08:48:13,2013-02-06 03:51:04
pkkva95359,vcs49175862,True,USD,2014-09-04,449756.00,747484.00,False,CREATE,2011-09-30 01:43:24,2015-02-20 02:45:12
qtnkd47001,mea80250337,True,USD,2012-03-24,42436640.00,83632830.00,False,UPDATE,2012-06-27 09:53:25,2016-09-22 04:13:49
pysmr82469,srw05915267,True,GBP,2010-07-17,140239.00,64003662.00,False,CREATE,2013-06-26 09:52:55,2016-05-15 02:40:24
zetvz86707,nte18629145,True,GBP,2010-04-19,27909654.00,827254.00,True,CREATE,2012-07-29 01:28:12,2015-01-25 07:11:35
wwozp19457,lwn47404946,False,GBP,2010-04-17,74186789.00,4145428.00,False,CREATE,2013-12-09 06:04:24,2012-09-22 01:28:56
gjgtd28586,sqm14432483,True,GBP,2010-01-16,42225840.00,3384041.00,True,CREATE,2011-08-23 05:52:40,2012-05-10 10:43:34
wusdl80135,swo58819974,True,GBP,2013-09-12,376088.00,15542.00,False,UPDATE,2015-04-29 01:49:04,2016-07-24 01:55:25
ehirj94177,xpt86498737,False,USD,2014-11-12,851982.00,86355708.00,False,UPDATE,2010-10-26 07:40:11,2014-07-12 03:24:34
adbxu89385,sbr21167337,True,GBP,2011-05-23,5134469.00,259562.00,False,CREATE,2011-02-26 01:56:40,2013-08-16 01:26:56
cysxe20871,ojd19477684,True,USD,2013-12-06,3027471.00,478554.00,True,UPDATE,2012-11-06 05:37:38,2015-01-11 05:12:17
ybcxa43834,aoy65133082,True,GBP,2014-06-11,604525.00,461394.00,True,CREATE,2010-06-05 09:07:47,2014-04-04 01:08:11
ullrb64779,fjw46290553,True,GBP,2011-01-13,80849352.00,1857561.00,False,CREATE,2011-10-20 12:40:28,2013-03-18 10:29:31
wlotu91715,qml43888883,True,USD,2011-01-20,322977.00,317468.00,False,CREATE,2012-09-12 11:56:54,2012-09-20 07:51:58
dxxjo05939,gum02663797,True,GBP,2013-01-23,580090.00,7216103.00,False,UPDATE,2011-05-29 07:25:52,2012-08-11 05:21:15
rrnke93069,qbr26116071,True,USD,2010-02-24,348624.00,6865574.00,False,CREATE,2014-07-29 09:28:49,2016-11-29 10:47:35
oxdbm73406,fqp11684036,True,USD,2013-02-28,736449.00,21129.00,True,UPDATE,2012-12-02 08:23:07,2013-01-30 06:08:11
jvndm39018,fjj33952392,True,GBP,2011-11-08,192027.00,859399.00,True,UPDATE,2012-09-30 07:26:23,2014-04-15 04:25:18
wehol14714,vxf94331021,False,USD,2014-04-19,98460.00,54379.00,False,UPDATE,2010-11-06 06:08:53,2016-06-18 09:49:10
fjmnr85810,meh55848073,False,USD,2013-01-11,841840.00,477278.00,True,UPDATE,2013-02-01 12:40:23,2016-03-12 01:06:24
fiebq83645,vex26536615,True,USD,2011-11-03,78950.00,3990396.00,True,CREATE,2013-04-25 07:29:54,2016-04-10 02:34:05
kfbzy75936,fii07798682,True,GBP,2014-05-08,387808.00,769787.00,True,UPDATE,2011-02-21 05:58:12,2016-05-28 06:33:47
dqsic65523,bpa29408878,False,USD,2013-06-27,8033544.00,1365875.00,False,CREATE,2010-01-25 03:54:30,2015-11-11 08:25:52
bqnvd64152,uyu02437085,True,GBP,2011-07-02,32074.00,8026921.00,False,UPDATE,2013-10-26 04:10:38,2017-05-14 05:20:24
theua49446,beo54363487,False,GBP,2012-02-04,73142108.00,2052117.00,True,UPDATE,2010-12-18 03:19:14,2016-03-09 05:07:10
oysor05710,htv05895053,False,USD,2014-01-11,9578055.00,8350386.00,False,CREATE,2014-01-23 01:33:51,2014-11-06 09:16:44
hcwxm86143,pgv03625063,False,USD,2014-02-05,4256854.00,235008.00,True,UPDATE,2014-05-26 10:21:56,2014-02-14 07:34:20
nqqxv85329,lob89909666,False,USD,2012-09-16,7503281.00,39426348.00,True,UPDATE,2012-09-17 03:19:56,2013-01-16 01:26:27
wobyv00738,wpz09051155,False,GBP,2010-06-26,334621.00,138828.00,True,UPDATE,2014-06-06 10:33:08,2016-02-13 12:57:05
mmcqg86691,dhm53884863,False,USD,2014-05-08,881413.00,55855897.00,True,CREATE,2014-08-26 02:58:30,2017-01-28 07:13:54
whjqk13815,gwi22613419,True,GBP,2015-04-07,54033749.00,167950.00,False,CREATE,2011-07-18 10:48:46,2013-06-06 08:24:35
cqzrd98068,beu67275812,False,USD,2014-05-07,35571197.00,65283.00,True,UPDATE,2012-02-22 10:22:07,2014-10-24 11:38:41
jutpd89738,ltr89819359,True,USD,2014-10-18,355941.00,84087522.00,False,CREATE,2014-09-16 09:29:12,2015-04-23 06:42:20
dvcwv21434,ulv06569148,True,GBP,2014-08-13,45725.00,130215.00,True,UPDATE,2010-05-18 04:58:51,2015-03-02 05:52:49
efylu25251,ays40612950,False,GBP,2014-12-12,374052.00,9130117.00,True,CREATE,2013-11-15 06:21:33,2016-05-18 03:39:47
guvwz99794,yss26358556,False,GBP,2013-01-03,190868.00,393066.00,False,UPDATE,2013-02-03 02:22:48,2016-08-17 08:48:08
okfyv50872,sza94788291,False,GBP,2013-01-11,80537568.00,254888.00,True,CREATE,2013-04-17 01:02:58,2017-01-28 05:53:47
obmdx44012,kih00598757,False,GBP,2013-02-26,4210839.00,6036922.00,False,UPDATE,2013-08-16 11:20:09,2014-10-13 11:23:46
rslrd36191,ypv68556920,True,USD,2010-09-04,85179.00,21315901.00,False,UPDATE,2012-12-10 01:51:16,2012-05-13 08:07:53
jbxpl02048,puw07971817,False,USD,2010-10-12,57427271.00,41904215.00,False,CREATE,2011-04-20 05:17:33,2017-01-17 03:10:08
gqojy07906,whx53585649,False,USD,2011-08-14,283102.00,813071.00,False,CREATE,2012-04-16 06:59:26,2014-09-08 09:18:25
aewgw54072,wab43548273,True,GBP,2011-05-25,538805.00,745225.00,True,UPDATE,2013-08-04 05:13:12,2013-02-28 07:11:58
ytkwa12707,mrr13891832,True,USD,2012-07-01,31250616.00,8769559.00,False,CREATE,2010-11-23 04:27:40,2012-08-12 09:09:43
pijqa90877,fih22358895,True,GBP,2014-07-29,4545687.00,155103.00,False,CREATE,2013-06-07 11:26:03,2012-12-09 01:53:37
xprec33388,apd25131186,False,USD,2011-11-01,573026.00,7641619.00,True,UPDATE,2012-09-06 10:23:46,2016-05-10 08:28:21
rsucf50952,bet79452455,False,USD,2010-03-25,206230.00,184216.00,False,UPDATE,2014-12-12 07:19:53,2013-09-14 07:01:04
bmyga88869,jyy94788202,False,GBP,2010-11-26,183333.00,223368.00,False,UPDATE,2015-04-11 10:47:05,2017-03-27 04:35:27
fhyqm78820,als73479785,False,GBP,2014-03-19,193836.00,285087.00,True,UPDATE,2014-06-12 12:43:17,2016-11-02 03:44:28
zyyrd87932,elx12577029,True,GBP,2011-02-04,7995361.00,380526.00,True,CREATE,2012-08-23 09:23:01,2014-08-11 06:56:52
yoptl87185,ofb97813919,False,GBP,2015-02-03,68065049.00,252784.00,False,UPDATE,2014-05-29 06:47:54,2013-03-12 03:58:16
msoey44547,ewb32040771,False,USD,2011-08-17,7855981.00,9165657.00,False,CREATE,2011-01-02 04:15:24,2016-02-11 04:58:53
nivob58905,ldj62193325,True,GBP,2015-05-14,810583.00,3327058.00,False,UPDATE,2013-06-05 06:21:04,2017-01-11 06:07:46
qpmzj81178,iry38471501,True,GBP,2014-11-30,5889386.00,521962.00,False,CREATE,2011-03-14 09:39:11,2012-02-01 09:57:37
egkqv32471,dvb87212675,True,GBP,2011-09-08,1117089.00,544212.00,False,UPDATE,2014-01-31 06:43:54,2015-03-16 12:26:25
yaoir21401,gnx68702766,False,GBP,2012-04-14,8541532.00,205871.00,True,UPDATE,2013-06-11 12:55:05,2016-11-28 05:46:46
iadcf17282,joc14663980,False,USD,2014-03-13,1263033.00,742070.00,True,CREATE,2012-08-09 10:52:50,2013-11-14 05:50:26
ckovc27337,aor15195571,False,USD,2012-10-01,156754.00,89323573.00,True,UPDATE,2011-02-10 02:00:28,2016-09-03 08:44:58
jmduq81028,cpd96323441,True,GBP,2013-03-22,405710.00,160061.00,False,CREATE,2011-06-20 01:38:31,2015-03-27 05:13:46
kqdro08536,fxx68621214,False,USD,2011-03-31,9141105.00,3479410.00,True,CREATE,2013-02-02 10:29:01,2013-02-22 06:15:53
jhqxf12170,itk75080694,True,GBP,2012-10-18,3502028.00,451788.00,True,UPDATE,2013-06-04 04:13:42,2012-04-15 06:43:20
orjtw15702,bpk86250645,False,USD,2011-03-15,1225727.00,649585.00,True,CREATE,2011-07-17 09:53:48,2012-04-05 08:36:48
erpyn92692,vfe76300764,False,GBP,2013-11-29,1318536.00,15947491.00,False,CREATE,2012-10-08 10:06:39,2016-09-13 11:08:13
eeymt27478,dvi52456188,False,USD,2012-10-19,1734810.00,65410461.00,True,UPDATE,2015-03-24 02:58:36,2014-09-11 07:32:29
ggscn73009,lre77121849,True,GBP,2011-11-24,9244252.00,82643.00,False,CREATE,2011-08-24 01:52:41,2014-12-15 05:28:12
gfrof58912,ayz74876547,False,USD,2010-11-16,8621903.00,5598267.00,True,CREATE,2012-01-13 07:34:35,2016-03-09 04:10:20
vpjdj87480,hce75624043,True,GBP,2014-12-15,3455474.00,538904.00,True,CREATE,2011-05-06 02:43:19,2013-09-04 04:53:12
cusfh98898,yhw66266546,False,GBP,2015-04-17,395819.00,665506.00,True,UPDATE,2010-05-20 12:30:53,2013-08-01 08:47:32
lkcvf08807,pic99657082,True,USD,2014-04-15,156832.00,361905.00,True,CREATE,2014-01-05 05:14:18,2014-03-19 02:20:03
qysae59655,pks16738346,True,USD,2011-02-27,31447410.00,443033.00,True,UPDATE,2011-06-12 02:58:09,2015-10-10 01:36:55
kmtpw78232,itx96831992,False,USD,2011-01-11,96785143.00,4493594.00,False,CREATE,2014-12-02 12:15:34,2014-05-19 06:52:26
gtlrg68187,juq48572302,False,USD,2010-06-06,90051412.00,949550.00,True,CREATE,2010-11-10 04:53:21,2014-05-01 07:54:56
srrth85257,xpj78903149,True,USD,2010-09-19,74734216.00,41343096.00,True,UPDATE,2011-04-26 03:26:45,2016-04-16 03:26:39
dtzyj54682,leb42947364,False,USD,2012-05-27,1527253.00,314605.00,True,CREATE,2010-08-31 11:35:03,2015-06-10 09:33:06
tokqv70235,vgs67716601,False,USD,2012-01-09,13010779.00,44964986.00,False,CREATE,2010-06-05 07:32:57,2015-12-16 11:06:48
wkqtz53101,pzp96115386,False,USD,2012-09-13,703382.00,43066136.00,False,UPDATE,2010-05-02 09:19:21,2015-12-11 08:23:48
jjbmn21956,whh22824212,True,GBP,2011-06-14,28571.00,88940833.00,False,CREATE,2014-02-03 05:00:53,2013-03-07 01:07:44
veajr02911,jix78841091,False,GBP,2010-06-26,772081.00,404619.00,False,CREATE,2015-03-15 12:15:01,2012-04-12 01:18:26
ggagh43966,hkp13484425,False,USD,2010-06-02,495277.00,16155243.00,False,CREATE,2013-07-20 02:26:33,2017-02-24 11:52:45
pegtb08624,voy23442019,False,USD,2013-06-21,404126.00,882787.00,False,CREATE,2010-08-12 02:50:16,2014-08-31 09:11:50
hlpkk80999,ten30764360,False,USD,2010-10-28,7418059.00,76412848.00,True,UPDATE,2013-03-10 01:09:44,2014-04-28 07:32:24
pmime10308,omk65558050,False,USD,2013-08-19,74798293.00,162917.00,False,CREATE,2012-06-08 03:30:30,2015-02-25 05:55:18
piflt76964,yhx71605322,True,GBP,2014-06-17,50193338.00,5432961.00,False,UPDATE,2013-07-09 08:19:16,2013-10-10 11:50:22
zpnsv28250,vwx43499471,True,USD,2012-03-06,482221.00,60808412.00,False,UPDATE,2010-04-25 08:05:52,2015-04-29 02:24:57
yygyt78938,rzi89955579,False,USD,2014-07-02,560557.00,7936990.00,False,CREATE,2014-07-20 10:40:43,2015-01-16 01:49:34
hwmrl89129,bai48622834,True,USD,2015-05-06,9855700.00,4435079.00,True,UPDATE,2012-10-01 02:02:40,2016-09-03 11:49:06
tbvkx94920,xjj71001607,True,GBP,2011-03-02,25580959.00,4073877.00,False,UPDATE,2015-01-18 08:28:29,2016-11-18 01:20:00
tzxdp68043,ibm92928424,False,GBP,2014-07-01,11251430.00,889081.00,False,UPDATE,2014-04-30 11:26:42,2012-06-26 03:18:01
xxvuq70049,vgn70398656,True,GBP,2011-12-18,631242.00,1244325.00,True,UPDATE,2012-01-18 04:21:23,2014-08-13 07:19:58
jvplw86152,mth32904023,True,GBP,2011-05-21,296187.00,6173528.00,False,UPDATE,2011-03-11 09:05:40,2015-03-10 04:03:20
fzgjo11263,zqn38413959,True,USD,2011-12-18,5069724.00,94967314.00,True,UPDATE,2014-11-11 05:13:45,2016-02-10 02:55:31
bqhbl43795,mft51697096,False,USD,2012-02-18,714905.00,8126491.00,True,UPDATE,2012-08-31 12:54:03,2017-04-17 07:55:46
znotk45443,obc40151650,True,USD,2012-09-23,4981445.00,1513218.00,True,CREATE,2014-07-29 05:52:41,2013-04-11 06:02:04
rwuow13340,san73177396,True,GBP,2012-12-10,4132542.00,87269459.00,True,CREATE,2015-02-20 03:56:31,2015-05-16 07:16:43
hvjgz32101,fzj73415966,True,USD,2013-03-21,855777.00,44568120.00,True,UPDATE,2010-03-30 07:36:07,2014-02-05 05:48:40
wfxbn57917,skq38532359,False,USD,2013-04-22,84343281.00,91784528.00,True,UPDATE,2010-12-22 01:04:47,2014-05-27 09:38:22
xqjaf53721,div43796786,False,USD,2012-12-08,6770535.00,933189.00,False,CREATE,2013-09-16 07:09:40,2015-07-22 01:13:32
bplff60806,xez35071778,False,GBP,2011-06-11,9889226.00,620642.00,False,UPDATE,2012-10-21 08:33:28,2015-10-20 09:24:48
ajnbz21280,vvz32847593,True,GBP,2010-10-07,624318.00,57649120.00,True,CREATE,2012-03-04 07:04:47,2017-02-27 10:00:02
twjvq02939,cyq57445190,True,USD,2013-01-24,50421.00,1617265.00,False,UPDATE,2015-01-18 12:48:40,2015-12-13 12:30:49
jxxyd40866,crq35499341,False,USD,2010-04-21,2044037.00,512724.00,False,CREATE,2011-08-31 08:10:42,2013-06-10 05:14:16
agoip71617,ahn37531029,False,GBP,2012-01-09,847885.00,761748.00,True,UPDATE,2012-08-12 03:13:51,2013-11-06 11:11:13
ehede81488,bzz40877858,False,USD,2013-05-29,208558.00,229284.00,True,UPDATE,2014-04-30 03:42:52,2015-03-30 05:14:40
