Id,CollateralID,ChargeHolderID,ChargeOrderID,ChargeTypeID,ChargeValue,ChangeType,CreatedDate,LastModifiedDate
jk68682263068936,lsq94678232,2,2,1,8690,CREATE,18/07/2013 09:41,10/10/2015 02:23
wv54460926781864,rmv70241818,6,1,2,46172,UPDATE,02/01/2015 07:50,10/04/2017 04:06
zc58803594181098,upl28910842,11,1,2,6028,CREATE,24/07/2012 11:06,28/03/2013 08:12
ea40585614901715,vlc43291072,12,2,2,79700,UPDATE,08/01/2013 09:32,04/05/2016 02:31
uz90868658309368,xfh69125566,16,1,2,376,CREATE,04/08/2013 07:16,17/02/2013 09:20
sf98724010516333,cfa94514445,21,1,2,8257,UPDATE,05/02/2011 07:22,15/01/2014 05:58
dy35794544449336,swm37113317,10,1,1,2730,CREATE,02/08/2014 09:25,02/09/2013 04:06
ke56166115847349,hvz31055406,13,2,3,2373,UPDATE,18/11/2010 12:33,08/09/2015 12:23
pt26747303800663,zrs24073991,10,2,1,51869,UPDATE,18/05/2012 09:03,26/12/2014 06:08
qg06385611176066,voe22015396,15,2,3,267,UPDATE,07/01/2014 04:15,11/05/2014 08:57
hr00989350885157,bcj20087076,4,3,2,88631,UPDATE,17/10/2012 03:11,05/08/2015 04:21
nd65592758697570,ftn10584853,4,2,1,91986,CREATE,09/09/2013 05:51,15/08/2016 04:12
na41664739282422,cfn06101222,10,1,3,879,UPDATE,09/09/2010 03:39,21/02/2014 02:21
rh66500989850437,ibs93492505,7,3,1,3615,CREATE,25/05/2014 09:24,27/05/2012 01:10
bj28082028174848,wrx31023566,6,2,3,2556,UPDATE,14/08/2014 12:17,19/07/2015 02:58
mf54806819779172,dcj37147511,14,2,1,83358,UPDATE,01/09/2014 01:40,30/10/2014 10:23
hd61780146015497,mtr69215642,1,1,2,4045,CREATE,09/12/2012 08:03,11/11/2015 11:35
gg41273591885243,bdu93660675,1,1,2,55253,CREATE,17/11/2013 11:25,03/05/2015 07:32
jn40830184094042,egr24061580,9,3,1,2358,UPDATE,22/04/2013 04:45,24/10/2013 01:28
ra24368367022908,mfz10828416,4,2,3,27128,UPDATE,19/06/2013 07:31,13/03/2015 04:11
ni90919301790879,tus32721602,13,1,1,86660,CREATE,04/03/2013 09:20,08/04/2012 11:26
kd46467832082154,srj20722181,21,3,3,43,UPDATE,01/06/2013 05:48,05/08/2016 06:22
qd23676055317760,iyt30844111,13,1,2,94846,CREATE,01/04/2010 07:59,28/12/2012 06:44
xp85610942168642,egn49670684,21,1,2,77522,CREATE,01/05/2014 12:53,17/11/2016 09:00
kj07092460383127,ekk74351630,18,1,1,70270,UPDATE,01/10/2014 02:00,10/05/2016 05:46
af41922967240175,bbv84492930,3,1,1,90387,UPDATE,21/04/2010 03:55,20/10/2015 11:16
ms00835994966719,lsk74883499,18,2,2,61910,UPDATE,10/05/2014 10:45,21/08/2012 05:44
sp21114983419278,atc02850970,14,1,1,3146,CREATE,19/09/2014 03:07,30/01/2013 04:40
oo86429713835103,aae50664553,1,1,3,9595,CREATE,05/06/2011 09:05,08/06/2014 09:48
zi75776976578713,dsf10635854,3,2,2,3497,CREATE,31/03/2011 08:29,30/11/2012 01:41
yv47282714127919,gag35017534,8,2,1,2059,UPDATE,23/08/2014 04:39,25/05/2016 07:32
pr82897572317660,xhj92382186,13,2,3,7919,UPDATE,08/03/2015 07:43,08/11/2014 07:28
gs59328596416602,vaz37606272,7,2,3,987,UPDATE,10/07/2010 11:24,16/02/2012 04:40
lz89344940522515,pdo35012986,20,1,3,98982,CREATE,15/12/2014 03:18,09/04/2012 07:58
pr07944883716349,wux42997454,4,1,1,69931,UPDATE,30/05/2014 12:45,28/02/2014 10:29
zp68334786247689,wux42997454,19,2,3,65603,CREATE,04/10/2012 05:26,05/07/2015 09:00
bk20596582862581,wux42997454,8,3,2,15185,UPDATE,27/06/2013 06:04,20/11/2013 06:53
ar63684427263968,dkb38306807,14,1,3,4987,UPDATE,24/06/2013 01:00,20/10/2012 04:44
uf64739985892290,prj07430669,7,1,3,4816,CREATE,05/06/2013 01:56,11/08/2015 07:15
gv43760811280646,ywc24086455,15,1,3,54513,UPDATE,08/08/2012 04:59,10/07/2015 01:20
gq07743294905392,zob94186747,18,1,2,652,CREATE,24/02/2014 10:53,03/01/2017 02:44
og00132437643340,ppx92111236,15,1,1,7198,UPDATE,09/10/2013 07:56,18/08/2013 12:59
qh27581673273862,hlp37500314,9,2,3,9886,UPDATE,18/06/2013 09:08,29/12/2013 12:51
pf72097848996159,ovw26016567,12,1,1,7381,UPDATE,11/12/2013 09:11,22/05/2016 02:47
ew00981416208357,rpb49019021,18,3,3,66418,CREATE,08/08/2013 09:29,29/12/2012 09:22
mb74762562883190,vds67989279,6,2,1,94677,CREATE,22/05/2013 09:09,20/03/2017 07:07
bl99114290662700,ggm17896641,1,2,2,23652,CREATE,25/07/2014 04:42,28/08/2012 08:25
lj75494947539838,fqo28545952,11,1,1,69171,UPDATE,21/07/2010 04:01,11/03/2014 01:50
fk07516971379974,afx05571844,18,1,1,52224,CREATE,10/07/2012 04:52,17/12/2014 12:51
wa16481086023436,tay60094013,6,2,1,2401,CREATE,19/05/2012 02:23,03/03/2014 02:16
dy03160846401381,wtj60256681,18,2,1,5205,UPDATE,28/09/2010 09:24,14/05/2015 02:19
qp45407119200953,ohx98570057,9,1,3,52829,UPDATE,22/09/2014 08:10,15/03/2014 12:16
bl58198327830701,gjl87810906,5,1,2,1655,UPDATE,13/08/2012 02:29,18/12/2016 07:02
ye86920363968825,kaf88649438,8,1,3,4738,CREATE,06/01/2012 04:13,14/12/2015 10:00
ue14219735188101,rnn83800193,21,1,3,943,UPDATE,30/04/2015 02:06,29/01/2014 12:47
cq08848731639035,wge99599965,20,2,2,5000,CREATE,05/08/2011 07:54,03/08/2012 06:55
wu16789661794035,nbe93767617,19,2,3,1045,CREATE,13/10/2010 03:27,20/11/2012 03:51
pu97454406902441,rrp66225981,18,1,1,17951,UPDATE,03/12/2011 06:51,29/03/2015 09:53
ix34933992937169,sgt27434545,7,3,1,69923,CREATE,09/01/2014 04:37,14/08/2014 09:58
yq90941218969082,gou07904524,1,3,2,9377,UPDATE,14/01/2013 11:28,28/02/2017 04:11
ru66394835920843,cwe12113620,17,1,1,4236,CREATE,02/08/2010 08:36,19/04/2013 04:06
hn26017846117626,ums34938555,8,2,3,3502,CREATE,20/02/2014 08:56,11/04/2015 12:58
vi82083073710551,vcs49175862,12,1,3,2742,UPDATE,18/10/2011 05:00,24/03/2017 03:31
et84159382494661,mea80250337,18,1,1,8253,UPDATE,13/02/2012 07:43,08/05/2013 03:52
le43543392752468,srw05915267,13,2,2,73576,CREATE,25/03/2013 01:42,16/08/2012 04:03
cl11773030249920,nte18629145,6,3,1,84783,CREATE,18/01/2010 05:07,29/03/2017 02:59
hz96112583597307,lwn47404946,5,1,2,6896,UPDATE,07/04/2010 09:44,23/04/2016 06:01
za28284386299180,sqm14432483,18,3,2,56732,UPDATE,16/02/2015 11:27,31/01/2015 06:07
vj31873347680427,swo58819974,9,3,1,31211,CREATE,04/11/2014 10:11,19/01/2014 05:45
ja66333720914674,xpt86498737,6,1,1,35664,CREATE,17/02/2015 02:47,04/12/2016 01:02
ou23639505202653,sbr21167337,17,1,3,37055,UPDATE,18/06/2013 01:06,31/08/2013 03:08
ns13807165557692,ojd19477684,11,3,1,1280,UPDATE,24/10/2012 03:24,09/09/2015 05:44
iv19948260079908,aoy65133082,1,2,3,87975,CREATE,04/10/2010 07:08,15/05/2017 04:25
vk82048914897644,fjw46290553,14,2,3,8685,CREATE,21/09/2012 02:19,30/12/2014 09:15
cn11478218856076,qml43888883,16,2,1,6534,CREATE,06/09/2010 06:16,26/11/2015 09:21
pd97733102374478,gum02663797,1,3,2,6348,CREATE,03/10/2013 11:31,12/07/2015 10:59
gy79071219157144,qbr26116071,8,3,2,180,UPDATE,13/01/2012 10:57,27/08/2012 12:30
th06169861592647,qbr26116071,4,2,1,65501,CREATE,11/05/2015 03:34,18/01/2014 06:36
sx31348192791488,qbr26116071,12,1,3,8823,CREATE,30/09/2010 05:22,01/07/2012 04:08
ap63171610873995,vxf94331021,1,1,3,86848,UPDATE,15/11/2011 12:58,16/05/2012 12:48
hi74201395162360,meh55848073,18,1,3,56791,UPDATE,21/03/2011 08:10,24/06/2012 11:37
cl22067059990288,vex26536615,3,3,1,51848,UPDATE,28/02/2010 01:34,01/01/2016 12:03
sx96178220275843,fii07798682,17,1,3,44131,UPDATE,30/03/2011 09:29,19/10/2014 12:37
yp11535238926539,bpa29408878,10,2,1,61513,CREATE,08/08/2014 09:09,18/01/2017 07:37
cq10490331351758,uyu02437085,10,2,3,613,UPDATE,30/01/2012 03:29,25/10/2015 04:21
hi19926116569874,beo54363487,21,1,1,66316,UPDATE,06/01/2013 06:40,21/05/2014 05:42
pl61688392160866,htv05895053,10,3,3,5292,CREATE,27/06/2012 09:50,06/02/2015 10:24
yg61229277072388,pgv03625063,3,3,1,71680,CREATE,12/10/2014 03:52,02/02/2013 10:35
jp09058067142994,lob89909666,4,1,1,6631,CREATE,16/12/2011 06:39,01/06/2014 03:37
qx11626317324002,wpz09051155,2,3,1,2476,CREATE,14/03/2015 05:12,14/04/2014 09:09
zr19623903281759,dhm53884863,11,3,3,42800,UPDATE,03/02/2010 10:49,17/04/2013 12:11
ua00455705591424,gwi22613419,3,2,1,2334,CREATE,05/05/2011 03:25,18/06/2013 07:19
ji31208724614534,beu67275812,16,3,2,5671,UPDATE,04/01/2012 10:02,21/09/2014 05:03
wh86016979752531,ltr89819359,4,3,1,1979,UPDATE,11/05/2011 08:07,22/01/2016 06:06
go76900082926431,ulv06569148,5,3,1,99066,CREATE,16/02/2012 02:31,16/01/2014 06:35
uu67883066124114,ays40612950,8,3,2,59429,CREATE,01/12/2010 11:39,04/03/2014 12:38
uh62703094522525,yss26358556,18,1,3,35229,CREATE,22/10/2010 07:07,17/05/2014 12:44
vd95137729756475,sza94788291,9,2,1,3972,CREATE,14/08/2011 12:33,04/12/2016 10:24
kr24612088088920,kih00598757,5,3,2,27717,UPDATE,10/09/2011 09:39,24/11/2013 06:42
sc20432994643347,ypv68556920,15,2,1,2248,UPDATE,10/10/2011 06:40,12/09/2016 10:22
xw74992036082074,puw07971817,9,2,1,911,CREATE,23/03/2011 11:09,30/08/2013 12:22
rn37805885543718,whx53585649,8,2,1,27787,CREATE,29/05/2014 01:46,14/02/2016 03:44
mn43402120122471,wab43548273,16,1,1,48174,CREATE,05/11/2010 11:19,27/08/2015 08:25
ff71056155605685,wab43548273,8,2,3,5779,UPDATE,16/12/2012 06:28,02/03/2016 06:21
zf57680960282672,fih22358895,20,2,1,21888,CREATE,18/05/2010 10:21,30/03/2012 12:50
ln51491968845513,apd25131186,2,2,3,9189,CREATE,06/04/2012 07:56,15/09/2014 07:38
so93518374284533,bet79452455,17,1,1,30200,UPDATE,15/09/2012 08:44,07/04/2016 03:07
mu94969719800520,jyy94788202,16,1,1,2223,UPDATE,22/03/2011 04:37,19/02/2017 07:59
cl95684879441586,als73479785,6,2,3,6858,CREATE,12/04/2015 09:44,03/03/2017 10:52
ww17474189685656,elx12577029,13,3,2,91814,CREATE,19/08/2014 11:34,17/04/2017 11:45
xr62464991122063,ofb97813919,15,2,1,86903,UPDATE,08/06/2010 12:20,27/06/2014 05:37
nf48748874714869,ewb32040771,3,3,2,48656,CREATE,08/02/2015 08:02,20/11/2016 03:22
sh66489583620747,ldj62193325,19,3,1,3426,CREATE,26/10/2010 01:30,30/01/2014 09:46
ue31698935985127,iry38471501,5,1,3,84139,UPDATE,19/07/2012 04:22,12/08/2015 12:53
ng77096590514603,dvb87212675,2,1,3,82469,UPDATE,29/08/2014 10:44,15/04/2014 11:17
mm97958344248154,gnx68702766,12,1,2,49883,UPDATE,20/11/2012 07:41,20/06/2013 05:07
tk98190886733979,joc14663980,8,2,2,6454,CREATE,03/05/2010 09:47,26/09/2014 04:21
hr97068748427957,aor15195571,3,1,1,5129,UPDATE,04/09/2012 07:34,07/03/2013 01:53
hw17121314229063,cpd96323441,20,3,1,26187,UPDATE,15/01/2015 04:42,19/07/2013 07:09
mz50574807895322,fxx68621214,21,1,2,12787,CREATE,02/04/2010 08:24,13/03/2012 06:15
tr58429234228208,itk75080694,17,1,3,2076,UPDATE,04/09/2013 10:46,19/11/2013 04:03
xj02705178019867,bpk86250645,6,3,1,26068,UPDATE,05/06/2011 03:46,20/09/2016 11:53
gu03747797640976,vfe76300764,13,3,3,50439,CREATE,19/10/2014 10:16,13/03/2016 05:03
bt72961242424192,dvi52456188,1,3,2,30644,UPDATE,26/05/2014 10:29,10/12/2013 05:31
xx45569811691816,lre77121849,9,3,1,6149,UPDATE,13/10/2012 08:22,17/01/2016 04:46
zm79059195172109,ayz74876547,6,1,1,98848,UPDATE,27/06/2010 12:33,27/11/2012 07:15
ih10483924557076,hce75624043,18,1,3,9907,UPDATE,28/07/2010 04:54,21/12/2015 10:47
io77497029686288,yhw66266546,20,2,3,5399,CREATE,27/12/2013 06:32,12/08/2015 11:42
xw27806309232227,pic99657082,7,3,2,96186,UPDATE,25/07/2010 06:15,07/03/2017 11:22
im23640011488303,pks16738346,8,1,1,8647,CREATE,02/12/2013 10:28,19/03/2014 12:31
ob37569578594521,itx96831992,17,1,3,12925,UPDATE,28/01/2013 02:49,03/09/2016 03:44
vl39601146479627,juq48572302,18,2,3,91579,UPDATE,02/11/2010 09:24,08/08/2016 11:18
en37857356450957,xpj78903149,11,3,1,9842,UPDATE,16/07/2010 09:41,09/03/2016 06:56
uj67940498536838,leb42947364,2,3,3,77426,UPDATE,23/02/2014 11:02,27/07/2012 05:58
yy30497249873308,vgs67716601,21,1,2,67000,UPDATE,18/02/2012 08:09,08/02/2012 01:07
hn05883007586486,pzp96115386,18,2,2,78514,CREATE,18/06/2011 01:30,08/03/2013 03:24
mm81899223247109,whh22824212,3,3,3,27864,CREATE,28/05/2011 07:26,29/03/2015 12:44
wb07311423078868,jix78841091,20,1,2,34829,UPDATE,13/05/2011 05:52,26/08/2015 05:09
bv99981970495978,hkp13484425,13,3,3,6290,UPDATE,15/08/2014 04:01,04/12/2013 11:43
tc04926854210498,voy23442019,16,1,1,6834,CREATE,12/03/2014 04:22,04/08/2013 05:54
ne90080113982061,ten30764360,18,3,1,29644,CREATE,06/01/2011 10:21,04/09/2012 11:02
sw41698373508327,omk65558050,11,3,2,7478,UPDATE,10/03/2013 04:23,25/12/2013 10:19
oi85037056258399,yhx71605322,11,1,3,8473,CREATE,10/07/2010 07:42,16/06/2012 01:27
kt83657371844340,vwx43499471,4,2,2,3611,UPDATE,06/02/2014 09:41,20/01/2016 10:25
en02501247068966,rzi89955579,19,3,2,8617,UPDATE,12/12/2011 11:52,28/10/2013 02:03
qk39916063573796,bai48622834,13,3,2,4223,CREATE,17/09/2014 04:58,12/02/2014 11:27
tg32567240757390,xjj71001607,19,2,1,4401,CREATE,18/11/2013 03:57,30/03/2017 04:09
on95538389666330,ibm92928424,20,1,1,81433,UPDATE,06/04/2011 09:49,18/01/2013 04:22
yj52830024166036,vgn70398656,1,2,3,47733,UPDATE,03/10/2014 04:51,09/04/2016 02:35
eo85789438902672,mth32904023,5,1,1,5771,CREATE,01/05/2012 03:54,10/05/2013 04:06
uy94607558276564,zqn38413959,3,2,2,6375,UPDATE,10/04/2012 01:50,31/12/2013 01:53
fc31155704622103,mft51697096,11,3,1,3630,CREATE,26/07/2012 06:02,20/05/2012 01:15
fc99235436838318,obc40151650,16,2,2,64560,CREATE,20/06/2013 10:40,13/11/2014 01:39
tu19676667292732,san73177396,20,3,2,6854,UPDATE,17/03/2011 07:12,02/03/2017 05:20
uy11358383380063,fzj73415966,21,3,1,4800,CREATE,12/08/2014 02:39,09/04/2012 06:56
ve74218935059531,skq38532359,16,1,1,32948,CREATE,21/11/2013 07:59,27/04/2012 01:58
kd76302600930275,div43796786,16,1,1,9620,CREATE,20/11/2011 10:33,07/06/2015 05:33
fs98496372172257,xez35071778,1,1,1,453,UPDATE,07/04/2013 04:45,07/07/2012 12:56
cg00973849752725,vvz32847593,2,3,3,22143,CREATE,11/10/2012 05:51,12/03/2016 02:22
tg54390672512466,cyq57445190,12,3,3,6426,CREATE,19/09/2012 11:32,14/10/2013 06:09
fl73664499415452,crq35499341,16,3,3,4790,CREATE,12/06/2012 02:56,16/12/2016 09:17
jc56871285247175,ahn37531029,8,1,1,4933,CREATE,30/09/2011 10:08,04/03/2012 11:28
xp47099361525129,bzz40877858,7,3,2,51869,UPDATE,30/11/2010 04:12,27/05/2015 11:13
qt68817025389349,uuw93372577,12,3,3,28362,UPDATE,06/03/2015 03:46,28/06/2012 03:35
os90837494906139,ysi74119270,6,3,1,9620,CREATE,08/11/2014 02:31,07/07/2014 08:42
ia13306147082452,dls37639419,1,1,3,46736,UPDATE,10/04/2013 06:00,21/10/2012 12:24
eb53205442511767,dls37639419,19,2,1,72102,UPDATE,12/11/2014 11:59,14/06/2013 06:25
uw47189388782712,ekf61104836,4,3,2,75353,UPDATE,28/11/2011 02:20,24/09/2015 06:35
bs70622220970285,yjj22532628,9,1,1,86125,UPDATE,01/10/2012 05:10,01/04/2013 03:14
yg43567694443374,uom80361155,21,2,3,89577,UPDATE,28/04/2011 10:06,07/05/2016 05:13
qh69250568280478,syv10813668,16,2,3,2068,CREATE,20/09/2013 10:14,31/03/2012 10:31
kc76907406780349,emh41064729,3,3,3,8364,UPDATE,29/03/2014 02:53,20/06/2014 09:33
jk85244993366040,sda05760586,1,3,1,22601,UPDATE,10/06/2010 02:26,24/12/2016 09:54
mu10329188324475,bvc58219922,16,1,3,9740,CREATE,16/11/2010 03:56,05/02/2012 07:09
oq97449907702204,flm43383103,19,3,3,52176,UPDATE,24/04/2015 03:50,05/10/2012 09:46
ma87356272619084,gto31978027,18,1,1,96753,CREATE,22/06/2012 12:09,09/03/2012 07:31
mo61208699790694,jdn88976330,6,2,1,37967,UPDATE,11/04/2015 12:37,17/06/2016 06:24
yh38675489003225,dvw69742510,21,1,3,8538,UPDATE,08/08/2011 02:25,02/12/2015 03:26
op25649839202080,ypu62981099,5,3,1,7345,UPDATE,12/10/2012 12:15,24/02/2016 04:04
th37382683427707,cta08536927,2,1,2,16451,CREATE,18/06/2010 09:32,19/05/2013 03:21
sc38909288043512,doq42760369,4,3,2,2615,CREATE,18/12/2011 10:37,17/05/2012 08:00
nx75299882490717,rfp42880049,3,2,2,30398,CREATE,20/04/2010 02:18,28/01/2016 07:45
zy37868943321834,rtn80741407,14,2,2,88178,UPDATE,17/08/2013 01:02,13/04/2016 12:45
oe85831173437919,ueq99333675,20,3,1,1610,UPDATE,07/02/2014 03:35,28/05/2015 04:48
lu33924837621652,kvf76272059,9,1,2,61764,UPDATE,23/06/2012 02:47,25/03/2017 10:26
mr35661886213742,xit67146130,12,1,3,38765,CREATE,03/01/2013 04:10,23/02/2017 05:00
fd07676936539794,occ77410190,16,3,2,6758,UPDATE,13/04/2014 07:34,16/09/2015 04:23
ot21003691133304,asv39809217,13,1,2,26606,UPDATE,12/04/2010 12:15,26/12/2016 07:17
zw73103243251116,bxy12591104,19,2,1,94348,UPDATE,08/07/2013 09:28,02/11/2013 01:46
mz70355159101765,lpi83324806,6,2,3,31694,CREATE,04/11/2012 07:52,24/08/2014 04:17
pi15083839809069,gzw67198699,5,1,3,47421,CREATE,03/09/2011 03:42,30/04/2016 06:09
ck13942379878775,noz12366893,3,3,2,20166,CREATE,15/01/2013 09:12,25/11/2016 03:40
tg62575459208686,oyj43541800,15,2,3,6159,CREATE,03/06/2011 02:18,04/09/2016 07:42
jm49616847030841,enk40446325,11,2,1,369,CREATE,19/05/2013 04:41,12/11/2013 01:13
ef14727011895463,wxy99061267,7,2,2,6445,UPDATE,16/07/2011 06:21,09/02/2017 05:41
vw79170470175611,ffc34047616,7,3,2,18034,UPDATE,20/04/2014 08:42,25/10/2013 06:12
im27643697201215,jmj38559341,18,3,2,6053,CREATE,11/09/2010 01:40,19/05/2016 05:37
mt50956804703243,yzv37174484,2,3,1,5398,CREATE,02/09/2010 05:26,28/12/2016 08:04
cu41362927136129,vcp09678730,2,1,1,6320,CREATE,15/01/2012 10:17,30/04/2014 02:08
zc96001841820072,lcs83594803,16,1,2,16948,UPDATE,13/08/2011 08:00,13/04/2012 03:40
ai47862490790972,shu76111274,18,3,1,88156,UPDATE,25/09/2010 09:53,28/10/2013 03:15
ti99726170239916,cmf60514397,2,2,1,8689,UPDATE,09/10/2014 12:17,28/09/2014 10:31
ix26773555386290,qdn09390989,4,3,2,63547,CREATE,11/07/2010 03:48,27/07/2013 07:59
yl61488675095456,lla40079941,20,1,3,92731,UPDATE,21/11/2010 02:51,14/12/2015 10:18
kk57321749461891,itc83146470,19,2,3,5677,UPDATE,13/07/2011 08:26,21/10/2014 03:53
wb55542347120229,qwz50230230,20,1,2,30326,CREATE,30/10/2010 06:53,05/01/2013 06:16
qn04865926900860,skg20468526,7,3,3,69632,CREATE,18/07/2010 11:42,16/12/2012 07:23
fk55452246715380,ikp37090616,10,2,3,95093,UPDATE,11/04/2012 03:07,04/04/2017 04:43
xh16915166927360,drq88823293,5,1,3,70871,UPDATE,03/03/2010 05:10,02/09/2014 02:45
hw05515122252022,die42027163,10,1,3,32053,CREATE,25/07/2012 12:19,12/12/2013 06:52
qu58593573825617,rlz01677399,13,1,2,568,CREATE,19/03/2012 06:22,28/07/2016 05:20
lg86975355332678,eti52323976,17,3,2,46515,CREATE,15/05/2014 11:19,24/04/2017 04:29
jb52300605616789,rjg55615422,13,1,1,43414,CREATE,06/02/2010 05:11,28/09/2016 12:52
bv15114474443126,add05390484,19,1,3,52269,CREATE,01/10/2013 08:03,30/07/2012 09:16
pz71992871887837,fmh85712086,20,1,3,9111,CREATE,19/08/2013 07:45,14/04/2014 12:02
mc95894866204161,vtd57397169,10,1,1,29567,UPDATE,12/03/2014 09:58,20/12/2014 04:45
lz24082353668147,cdg79038491,9,3,3,15750,CREATE,22/06/2013 09:56,12/05/2015 12:39
ih97654515001051,trp97367588,3,3,1,7033,UPDATE,26/01/2012 08:19,09/11/2015 06:48
uf75294430942982,swy44412379,17,1,2,6413,UPDATE,17/07/2011 02:01,21/06/2013 08:12
ga15869402448427,czo26418515,12,1,1,60066,CREATE,26/01/2010 10:55,12/11/2013 11:01
kd27226006711268,ltn35164350,18,2,1,23576,CREATE,18/06/2014 12:29,06/12/2014 04:29
vv72897326123871,iux79385948,16,2,1,8401,UPDATE,29/05/2014 05:36,17/07/2015 08:12
td37377774325670,exm48534388,13,3,1,27656,CREATE,18/02/2010 03:57,03/09/2016 09:15
qh77095679380321,sbs17441802,9,1,2,5176,CREATE,15/05/2012 11:24,04/12/2016 08:32
qk92914849775188,ayi44137386,21,3,1,6532,CREATE,20/05/2014 02:20,06/08/2014 03:49
cx66505094016245,wfz67662938,11,1,3,9675,UPDATE,19/03/2012 08:59,07/10/2013 03:54
pn63639667695304,eyr19242039,6,2,3,9754,UPDATE,26/01/2014 10:29,26/02/2017 07:01
yd16315745278287,ccw93773515,1,2,3,4472,UPDATE,09/03/2012 04:45,21/04/2014 06:35
hc39089202399882,nrx15186380,15,2,3,9702,UPDATE,10/08/2011 11:15,25/09/2012 11:10
jc00509703909123,wzl61728444,17,1,3,21684,CREATE,20/10/2014 10:46,10/12/2012 01:40
ic13354099165863,dsv26907965,20,3,1,7168,UPDATE,01/06/2010 04:48,03/06/2012 05:29
gn66783797807798,mkf28040025,13,3,1,321,UPDATE,24/09/2014 01:21,02/06/2016 10:55
bk37681453357313,kyh49374616,11,1,3,73918,UPDATE,31/05/2014 07:25,16/12/2016 06:10
ak09023598734094,kng26016911,7,3,2,1264,UPDATE,27/10/2010 10:24,05/12/2015 04:13
wz07121801640057,aqm87612447,11,1,3,97615,CREATE,30/09/2012 09:42,23/05/2013 05:39
wk03516674077580,cnt65029217,20,1,3,94046,UPDATE,21/08/2014 10:23,15/08/2016 05:12
qq78620384999177,nte86437895,5,1,1,85645,CREATE,13/05/2010 08:34,24/03/2012 07:19
di29751254857403,gxy42054169,3,2,2,93032,UPDATE,04/08/2011 11:29,30/04/2014 02:08
ey76157252565785,ozu57096896,2,3,3,18337,UPDATE,17/05/2013 02:23,03/06/2013 07:58
yc34312111521967,bgi46134159,3,2,3,61026,CREATE,21/02/2010 06:04,28/05/2012 11:57
